result_scope,solver_registry_name,solver_name,average_runtime_seconds,num_runs,num_feasible_runs,num_valid_feasible_runs
real,random_baseline,random_baseline,9.64777772659651e-05,54,54,54
real,timefold,timefold,0.002081192594400944,54,0,0
real,simulated_annealing_solver,simulated_annealing_baseline,1.810334900007109,54,54,54
real,cpsat_solver,cpsat_round_robin,54.861112622221874,54,54,54
synthetic,random_baseline,random_baseline,0.00011138129737916727,540,540,0
synthetic,timefold,timefold,0.0006841911114018832,540,0,0
synthetic,simulated_annealing_solver,simulated_annealing_baseline,0.4250671146311409,540,279,0
synthetic,cpsat_solver,cpsat_round_robin,109.85284443870466,540,540,0
